Insee - Statistiques locales; ; ; ; 
Référentiel géographique : France par commune; ; ; ; 
Code;Libellé;Nb de familles 2019;Part des familles avec 3 enf. ou plus de - de 25 ans 2019;Population municipale 2019
01380;Saint-Nizier-le-Bouchoux;171;9.1;632
01381;Saint-Nizier-le-Désert;272;9;921
01382;Sainte-Olive;79;5.9;279
01383;Saint-Paul-de-Varax;437;11.6;1562
01384;Saint-Rambert-en-Bugey;560;17;2188
01385;Saint-Rémy;307;7.4;985
01386;Saint-Sorlin-en-Bugey;352;7.1;1127
01387;Saint-Sulpice;70;7.1;256
01388;Saint-Trivier-de-Courtes;293;10.5;1102
01389;Saint-Trivier-sur-Moignans;512;8.4;1834
01390;Saint-Vulbas;345;7.2;1246
01391;Salavre;85;5;271
01392;Samognat;208;4.7;656
01393;Sandrans;149;7.1;544
01396;Sault-Brénaz;270;10.7;977
01397;Sauverny;305;6.6;978
01398;Savigneux;431;8.7;1421
01399;Ségny;608;8.2;2107
01400;Seillonnaz;41;12.5;139
01401;Sergy;613;7.2;2167
01402;Sermoyer;199;7.3;652
01403;Serrières-de-Briord;390;10.1;1295
01404;Serrières-sur-Ain;40;12.5;135
01405;Servas;365;12.3;1280
01406;Servignat;50;10;174
01407;Seyssel;285;8.8;1002
01408;Simandre-sur-Suran;214;9.1;661
01410;Sonthonnax-la-Montagne;100;5;300
01411;Souclin;76;6.7;273
01412;Sulignat;178;14.2;595
01415;Talissieu;122;4;499
01416;Tenay;262;11.3;1014
01418;Thil;337;10;1087
01419;Thoiry;1762;8.4;6021
01420;Thoissey;386;7.9;1690
01421;Torcieu;205;9.8;729
01422;Tossiat;424;4.6;1355
01423;Toussieux;351;10.2;1124
01424;Tramoyes;559;5.3;1776
01425;La Tranclière;91;10.4;288
01426;Val-Revermont;764;8.6;2538
01427;Trévoux;1910;13.1;6920
01428;Valeins;35;14.3;126
01429;Vandeins;221;13.5;707
01430;Varambon;190;5.1;619
01431;Vaux-en-Bugey;367;6.7;1227
01432;Verjon;88;12;323
01433;Vernoux;77;13.3;313
01434;Versailleux;150;3.3;472
01435;Versonnex;640;9.4;2157
01436;Vesancy;138;9.8;481
01437;Vescours;65;7.7;223
01439;Vésines;35;14.3;99
01441;Vieu-d'Izenave;223;14.1;734
01443;Villars-les-Dombes;1375;8.1;4978
01444;Villebois;360;9.7;1196
01445;Villemotier;180;11.1;615
01446;Villeneuve;469;9.5;1548
01447;Villereversure;386;10.6;1342
01448;Villes;121;0;389
01449;Villette-sur-Ain;228;8.8;759
01450;Villieu-Loyes-Mollon;1140;7.9;3717
01451;Viriat;1956;9.5;6595
01452;Virieu-le-Grand;315;12.7;1132
01453;Arvière-en-Valromey;204;4.7;710
01454;Virignin;320;7.8;1112
01456;Vongnes;20;0;71
01457;Vonnas;926;12.2;3181
02001;Abbécourt;154;12.9;502
02002;Achery;183;2.7;610
02003;Acy;311;10.7;1021
02004;Agnicourt-et-Séchelles;54;9.1;182
02005;Aguilcourt;119;7.8;380
02006;Aisonville-et-Bernoville;80;0;262
02007;Aizelles;34;0;122
02008;Aizy-Jouy;92;17;294
02009;Alaincourt;169;14.5;534
02010;Allemant;59;8.3;173
02011;Ambleny;345;9.1;1138
02012;Ambrief;25;0;71
02013;Amifontaine;120;8.3;386
02014;Amigny-Rouy;217;9.3;729
02015;Ancienville;24;0;72
02016;Andelain;60;16.7;216
02017;Anguilcourt-le-Sart;87;12.6;323
02018;Anizy-le-Grand;758;12;2574
02019;Annois;106;8.9;362
02020;Any-Martin-Rieux;140;7.1;455
02021;Archon;24;0;84
02022;Arcy-Sainte-Restitue;120;12.1;403
02023;Armentières-sur-Ourcq;30;0;102
02024;Arrancy;19;0;51
02025;Artemps;109;8.7;367
02027;Assis-sur-Serre;65;7.7;214
02028;Athies-sous-Laon;785;7;2606
02029;Attilly;120;8.3;354
02030;Aubencheul-aux-Bois;82;4.6;257
02031;Aubenton;191;5.2;661
02032;Aubigny-aux-Kaisnes;75;13.3;253
02033;Aubigny-en-Laonnois;30;0;104
02034;Audignicourt;36;28.6;121
02035;Audigny;70;14.3;280
02036;Augy;20;0;72
02037;Aulnois-sous-Laon;430;11.6;1386
02038;Les Autels;15;0;59
02039;Autremencourt;41;25;173
02040;Autreppes;51;10;180
02041;Autreville;238;7.8;807
02042;Azy-sur-Marne;114;8.4;384
02043;Bagneux;20;0;65
02044;Bancigny;10;50;25
02046;Barenton-Bugny;169;8.7;557
02047;Barenton-Cel;37;12.5;108
02048;Barenton-sur-Serre;36;14.3;133
02049;Barisis-aux-Bois;231;6.5;739
02050;Barzy-en-Thiérache;96;10.5;323
02051;Barzy-sur-Marne;115;4.3;391
02052;Bassoles-Aulers;40;0;135
02053;Vallées en Champagne;165;6.1;571
02054;Bazoches-et-Saint-Thibaut;176;8.1;542
02055;Beaumé;25;0;88
02056;Beaumont-en-Beine;51;10;179
02057;Beaurevoir;396;9.6;1406
02058;Beaurieux;254;16;856
02059;Beautor;754;11.4;2714
02060;Beauvois-en-Vermandois;84;11.3;257
02061;Becquigny;74;13.3;246
02062;Belleau;40;0;137
02063;Bellenglise;115;8.6;378
02064;Belleu;1062;7.3;3832
02065;Bellicourt;184;10.5;600
02066;Benay;60;8.3;196
02067;Bergues-sur-Sambre;70;0;210
02068;Berlancourt;30;33.3;88
02069;Berlise;29;0;105
02070;Bernot;126;8;445
02071;Berny-Rivière;203;10.2;658
02072;Berrieux;54;0;186
02073;Berry-au-Bac;191;7.5;670
02074;Bertaucourt-Epourdon;180;16.7;593
02075;Berthenicourt;60;8.3;195
02076;Bertricourt;44;11.1;152
02077;Berzy-le-Sec;113;8.1;379
02078;Besmé;50;20;163
02079;Besmont;44;0;149
02080;Besny-et-Loizy;110;0;333
02081;Béthancourt-en-Vaux;119;11.5;434
02082;Beugneux;35;0;110
02083;Beuvardes;231;6.2;750
02084;Bézu-le-Guéry;84;5.8;257
02085;Bézu-Saint-Germain;294;11.5;1015
02086;Bichancourt;315;11.1;1006
02087;Bieuxy;15;33.3;34
02088;Bièvres;33;16.7;92
02089;Billy-sur-Aisne;366;5.4;1148
02090;Billy-sur-Ourcq;62;15.4;207
02091;Blanzy-lès-Fismes;35;0;95
02093;Blérancourt;357;12.7;1298
02094;Blesmes;137;11.4;464
02095;Bohain-en-Vermandois;1465;15.7;5686
02096;Bois-lès-Pargny;58;8.3;197
02097;Boncourt;83;11.4;256
02098;Bonneil;111;13.6;379
02099;Bonnesvalyn;70;14.3;221
02100;Bony;40;25;138
02101;Bosmont-sur-Serre;54;18.2;192
02102;Bouconville-Vauclair;41;37.5;191
02103;Boué;386;9.4;1339
02104;Bouffignereux;35;14.3;99
02105;Bouresches;66;15.4;196
02106;Bourg-et-Comin;217;10.7;810
02107;Bourguignon-sous-Coucy;31;0;107
02108;Bourguignon-sous-Montbavin;40;0;159
02109;La Bouteille;145;10.3;475
02110;Braine;622;10.2;2235
02111;Brancourt-en-Laonnois;208;12.5;721
02112;Brancourt-le-Grand;156;5.6;553
02114;Brasles;406;4.7;1563
02115;Braye-en-Laonnois;54;9.1;190
02116;Braye-en-Thiérache;41;12.5;147
02117;Bray-Saint-Christophe;21;25;68
02118;Braye;32;16.7;129
02119;Brécy;107;4.8;327
02120;Brenelle;65;7.7;196
02121;Breny;69;7.1;240
02122;Brie;20;25;54
02123;Brissay-Choigny;95;5;301
02124;Brissy-Hamégicourt;204;4.9;651
02125;Brumetz;53;20;193
02126;Brunehamel;125;15.3;455
02127;Bruyères-sur-Fère;65;15.4;192
02128;Bruyères-et-Montbérault;443;6.9;1475
